date,question,ville,type,spécialité,résultat
2025-01-22 18:21:44,J'ai un cancer à Lyon,Lyon,aucune correspondance,Cancer de l'ovaire,"Voici les 3 hôpitaux dans un rayon de 50km:
Centre Léon-Bérard (CLCC), Lyon (69) - Public - 18.54
CH Lyon-Sud, Pierre-Bénite (69) - Public - 18.35
Hôpital privé Jean-Mermoz, Lyon (69) - Privé - 16.6"
2025-01-23 10:02:14,Je veux faire soigner mon audition à Lyon,Lyon,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: None hôpitaux dans un rayon de 50km:
CH Lyon-Sud, Pierre-Bénite (69) - Public - 18.39
CHU - Hôpital Nord, Saint-Etienne (42) - Public - 18.0
Hôpital Edouard-Herriot, Lyon (69) - Public - 17.61"
2025-01-23 10:10:26,Je veux faire soigner mon audition à Loyn,aucune correspondance,aucune correspondance,Audition,
2025-01-23 10:16:05,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,
2025-01-23 10:20:02,Je veux faire soigner mon audition à Paris,Paris,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: Audition hôpitaux dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-23 10:27:36,Je veux faire soigner mon audition à Paris,Paris,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux de type aucune correspondance pour la spécialité: Audition dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-23 10:31:01,Je veux faire soigner mon audition à Paris,Paris,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux de type aucune correspondance pour la spécialité: Audition dans un rayon de 50km:
Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-23 10:36:15,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 10:36:15,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 10:38:16,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 10:38:16,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 14:14:20,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 14:14:20,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 16:49:05,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 16:49:05,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 16:55:29,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 16:55:29,Je veux faire soigner mon audition à Cannes,Cannes,aucune correspondance,Audition,"Voici les 2 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 200km autour de Cannes:
Hôpital privé Clairval, Marseille (13) - Privé - 17.81
Hôpital Nord, Marseille (13) - Public - 17.46"
2025-01-23 16:56:09,"Je veux faire soigner mon cancer à Cannes

",Cannes,aucune correspondance,"plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau.","Voici les 2 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau. dans un rayon de 200km autour de Cannes:
Hôpital Nord, Marseille (13) - Public - 17.85
Institut Paoli-Calmettes (CLCC), Marseille (13) - Public - 15.89"
2025-01-23 16:56:09,"Je veux faire soigner mon cancer à Cannes

",Cannes,aucune correspondance,"plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau.","Voici les 2 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau. dans un rayon de 200km autour de Cannes:
Hôpital Nord, Marseille (13) - Public - 17.85
Institut Paoli-Calmettes (CLCC), Marseille (13) - Public - 15.89"
2025-01-23 16:57:50,Je veux faire soigner mon cancer à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau.","Voici les 2 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau. dans un rayon de 200km autour de Cannes:
Hôpital Nord, Marseille (13) - Public - 17.85
Institut Paoli-Calmettes (CLCC), Marseille (13) - Public - 15.89"
2025-01-23 16:57:50,Je veux faire soigner mon cancer à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau.","Voici les 2 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Cancer de l'estomac et de l'œsophage, Cancer de l'ovaire, Cancer de l'utérus, Cancer de la prostate, Cancer de la thyroïde, Cancer de la vessie, Cancer du colon ou de l'intestin, Cancer du foie, Cancer du pancréas, Cancer du poumon, Cancer du rein, Cancer du sein, Cancer ORL, Cancers de la peau. dans un rayon de 200km autour de Cannes:
Hôpital Nord, Marseille (13) - Public - 17.85
Institut Paoli-Calmettes (CLCC), Marseille (13) - Public - 15.89"
2025-01-23 17:25:16,Je suis fou à Cannes,Cannes,aucune correspondance,aucune correspondance,"Voici les 3 meilleurs hôpitaux pour la spécialité: aucune correspondance dans un rayon de 50km autour de Cannes:
Institut universitaire de la face et du cou, Nice (06) - Public - 18.29
Clinique de l’Espérance, Mougins (06) - Privé - 17.41
Clinique Saint-François, Nice (06) - Privé - 17.23"
2025-01-23 17:28:30,Je veux accoucher à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 50km autour de Cannes:
Institut universitaire de la face et du cou, Nice (06) - Public - 18.29
Clinique de l’Espérance, Mougins (06) - Privé - 17.41
Clinique Saint-François, Nice (06) - Privé - 17.23"
2025-01-23 17:29:08,Je veux accoucher à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Cannes:
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39
Hôpital de la Conception, Marseille (13) - Public - 16.65"
2025-01-23 17:29:08,Je veux accoucher à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Cannes:
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39
Hôpital de la Conception, Marseille (13) - Public - 16.65"
2025-01-23 17:47:27,Je veux accoucher à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Cannes:
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39
Hôpital de la Conception, Marseille (13) - Public - 16.65"
2025-01-23 17:47:27,Je veux accoucher à Cannes,Cannes,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Cannes:
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39
Hôpital de la Conception, Marseille (13) - Public - 16.65"
2025-01-23 17:57:14,je veux accoucher à Paris ,Paris,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 10:16:34,Je veux accoucher à Toulon.,Toulon,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Toulon:
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39"
2025-01-24 10:16:34,Je veux accoucher à Toulon.,Toulon,aucune correspondance,"plusieurs correspondances: Accouchements à risques, Accouchements normaux","Voici les 3 meilleurs hôpitaux pour la spécialité: plusieurs correspondances: Accouchements à risques, Accouchements normaux dans un rayon de 200km autour de Toulon:
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98
CHU - Hôpital de l’Archet, Nice (06) - Public - 17.64
Hôpital Nord, Marseille (13) - Public - 17.39"
2025-01-24 10:26:17,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 10:31:57,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 10:38:15,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 10:39:47,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 10:41:47,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
Hôpital Cochin, Paris (75) - Public - 18.11<br>
Hôpital Louis-Mourier, Colombes (92) - Public - 18.1<br>
CHI, Saint-Germain-en-Laye (78) - Public - 17.91<br>"
2025-01-24 10:48:57,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71<br>
CH, Lens (62) - Public - 17.29<br>
CH, Valenciennes (59) - Public - 17.26<br>"
2025-01-24 10:55:21,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71<br>
CH, Lens (62) - Public - 17.29<br>
CH, Valenciennes (59) - Public - 17.26<br>"
2025-01-24 10:56:04,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71<br>
CH, Lens (62) - Public - 17.29<br>
CH, Valenciennes (59) - Public - 17.26<br>"
2025-01-24 11:03:43,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71<br>
CH, Lens (62) - Public - 17.29<br>
CH, Valenciennes (59) - Public - 17.26<br>"
2025-01-24 11:04:41,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71<br>
CH, Lens (62) - Public - 17.29<br>
CH, Valenciennes (59) - Public - 17.26<br>"
2025-01-24 11:11:15,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
<br>CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71
<br>CH, Lens (62) - Public - 17.29
<br>CH, Valenciennes (59) - Public - 17.26"
2025-01-24 11:13:56,Je veux accoucher à Toulouse,Toulouse,aucune correspondance,Accouchements à risques,"Voici les 2 meilleurs hôpitaux pour la spécialité Accouchements à risques dans un rayon de 200km autour de Toulouse:<br> 
CHU - Hôpitaux mère-enfants, Toulouse (31) - Public - 18.52
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98"
2025-01-24 11:13:56,Je veux accoucher à Toulouse,Toulouse,aucune correspondance,Accouchements à risques,"Voici les 2 meilleurs hôpitaux pour la spécialité Accouchements à risques dans un rayon de 200km autour de Toulouse:<br> 
CHU - Hôpitaux mère-enfants, Toulouse (31) - Public - 18.52
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98"
2025-01-24 11:17:30,Je veux accoucher à Toulouse,Toulouse,aucune correspondance,Accouchements à risques,"Voici les 2 meilleurs hôpitaux pour la spécialité Accouchements à risques dans un rayon de 200km autour de Toulouse:<br> 
CHU - Hôpitaux mère-enfants, Toulouse (31) - Public - 18.52
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98"
2025-01-24 11:17:30,Je veux accoucher à Toulouse,Toulouse,aucune correspondance,Accouchements à risques,"Voici les 2 meilleurs hôpitaux pour la spécialité Accouchements à risques dans un rayon de 200km autour de Toulouse:<br> 
CHU - Hôpitaux mère-enfants, Toulouse (31) - Public - 18.52
CHU - Hôpital Arnaud-de-Villeneuve, Montpellier (34) - Public - 17.98"
2025-01-24 11:19:39,J'ai mal au pied à Paris,Paris,aucune correspondance,Chirurgie du pied,"Voici les 3 meilleurs hôpitaux pour la spécialité: Chirurgie du pied dans un rayon de 50km autour de Paris:
<br>Hôpital de la Croix-Saint-Simon, Paris (75) - Public - 19.22
<br>Hôpital Ambroise-Paré, Boulogne-Billancourt (92) - Public - 18.87
<br>Clinique Victor-Hugo, Paris (75) - Privé - 18.74"
2025-01-24 11:22:33,Je veux une prothèse à Lille,Lille,aucune correspondance,Prothèse de hanche,"Voici les 3 meilleurs hôpitaux pour la spécialité: Prothèse de hanche dans un rayon de 50km autour de Lille:
<br>Clinique du Croisé-Laroche, Marcq-en-Barœul (59) - Privé - 18.74
<br>CHU - Hôpital Roger-Salengro, Lille (59) - Public - 18.71
<br>CH, Valenciennes (59) - Public - 17.36"
2025-01-24 11:25:19,J'ai mal au genou à Paris,Paris,aucune correspondance,Ligaments du genou,"Voici les 3 meilleurs hôpitaux pour la spécialité: Ligaments du genou dans un rayon de 50km autour de Paris:
<br>Clinique du sport, Paris (75) - Privé - 17.96
<br>Clinique Maussins-Nollet, Paris (75) - Privé - 17.92
<br>CH, Versailles (78) - Public - 17.76"
2025-01-24 11:51:47,Je veux faire la spécialité: Cancer de la thyroide à Cannes,Cannes,aucune correspondance,Cancer de la thyroïde,"Voici les 3 meilleurs hôpitaux pour la spécialité: Cancer de la thyroïde dans un rayon de 200km autour de Cannes:
<br>Hôpital de la Conception, Marseille (13) - Public - 18.59
<br>Clinique Saint-George, Nice (06) - Privé - 18.22
<br>Institut universitaire de la face et du cou, Nice (Alpes-Maritimes) - Public - 18.19"
2025-01-24 11:51:47,Je veux faire la spécialité: Cancer de la thyroide à Cannes,Cannes,aucune correspondance,Cancer de la thyroïde,"Voici les 3 meilleurs hôpitaux pour la spécialité: Cancer de la thyroïde dans un rayon de 200km autour de Cannes:
<br>Hôpital de la Conception, Marseille (13) - Public - 18.59
<br>Clinique Saint-George, Nice (06) - Privé - 18.22
<br>Institut universitaire de la face et du cou, Nice (Alpes-Maritimes) - Public - 18.19"
2025-01-24 11:52:45,Je veux faire un accouchement normal à Cannes,Cannes,aucune correspondance,Accouchements normaux,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements normaux dans un rayon de 200km autour de Cannes:
<br>Hôpital de la Conception, Marseille (13) - Public - 18.59
<br>Clinique Saint-George, Nice (06) - Privé - 18.22
<br>Institut universitaire de la face et du cou, Nice (Alpes-Maritimes) - Public - 18.19"
2025-01-24 11:52:45,Je veux faire un accouchement normal à Cannes,Cannes,aucune correspondance,Accouchements normaux,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements normaux dans un rayon de 200km autour de Cannes:
<br>Hôpital de la Conception, Marseille (13) - Public - 18.59
<br>Clinique Saint-George, Nice (06) - Privé - 18.22
<br>Institut universitaire de la face et du cou, Nice (Alpes-Maritimes) - Public - 18.19"
2025-01-24 11:58:46,Je veux faire un accouchement normal à Cannes,Cannes,aucune correspondance,Accouchements normaux,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements normaux dans un rayon de 200km autour de Cannes:
<br>Hôpital Saint-Joseph, Marseille (13) - Public - 18.71
<br>CH, Grasse (06) - Public - 17.95
<br>Hôpital privé Beauregard, Marseille (13) - Public - 17.93"
2025-01-24 11:58:46,Je veux faire un accouchement normal à Cannes,Cannes,aucune correspondance,Accouchements normaux,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements normaux dans un rayon de 200km autour de Cannes:
<br>Hôpital Saint-Joseph, Marseille (13) - Public - 18.71
<br>CH, Grasse (06) - Public - 17.95
<br>Hôpital privé Beauregard, Marseille (13) - Public - 17.93"
2025-01-24 12:06:25,je veux soigner mon audition à Lille,Lille,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 50km autour de Lille:
<br>Hôpital privé La Louvière, Lille (59) - Privé - 17.95
<br>Hôpital privé Le Bois, Lille (59) - Privé - 17.56
<br>Polyclinique du Parc, Saint-Saulve (59) - Privé - 17.41"
2025-01-24 12:14:23,Je veux faire soigner mon audition à Paris,Paris,aucune correspondance,Audition,"Voici les 3 meilleurs hôpitaux pour la spécialité: Audition dans un rayon de 50km autour de Paris:
<br>Hôpital Necker-Enfants-Malades, Paris (75) - Public - 18.51
<br>Hôpital de la Pitié-Salpêtrière, Paris (75) - Public - 18.47
<br>Institut Arthur-Vernes, Paris (75) - Privé - 18.43"
2025-01-24 12:20:50,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
<br>Hôpital Cochin, Paris (75) - Public - 18.11
<br>Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
<br>CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 12:20:55,Je veux accoucher à Paris,Paris,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Paris:
<br>Hôpital Cochin, Paris (75) - Public - 18.11
<br>Hôpital Louis-Mourier, Colombes (92) - Public - 18.1
<br>CHI, Saint-Germain-en-Laye (78) - Public - 17.91"
2025-01-24 12:21:49,Je veux accoucher à Lille,Lille,aucune correspondance,Accouchements à risques,"Voici les 3 meilleurs hôpitaux pour la spécialité: Accouchements à risques dans un rayon de 50km autour de Lille:
<br>CHU - Hôpital Jeanne-de-Flandre, Lille (59) - Public - 18.71
<br>CH, Lens (62) - Public - 17.29
<br>CH, Valenciennes (59) - Public - 17.26"
