Rang,Nom,Nom Print,Ville,FINESS,Score final,Evolution
22,SAS POLYCLINIQUE DE LIMOGES,"Polyclinique de Limoges, Limoges (87)",Limoges,870017415,71,-12
23,POLYCLINIQUE BX-NORD AQUITAINE,"Polyclinique Bordeaux-Nord-Aquitaine, Bordeaux (33)",BORDEAUX,330780479,70,21
24,HÔPITAL PRIVÉ D ANTONY,"Hôpital privé d’Antony, Antony (92)",ANTONY,920300043,70,-5
25,POLYCLINIQUE LONGUES ALLEES,"Pôle santé Oréliance, Saran (45)",ST JEAN DE BRAYE,450010079,70,
26,CH PRIVÉ LOIRE,"Hôpital privé de la Loire, Saint-Etienne (42)",ST ETIENNE,420011413,69,3
27,CLINIQUE JUGE,"Clinique Juge, Marseille (13)",MARSEILLE,130783723,68,10
28,CLINIQUE DES CEDRES,"Clinique des Cèdres, Cornebarrieu (31)",CORNEBARRIEU,310781000,67,-6
29,CAPIO CLINIQUE BELHARRA,"Clinique Belharra, Bayonne (64)",BAYONNE,640018206,63,7
30,CLINIQUE DE L'ALLIANCE,"Nouvelle clinique de Tours, Saint-Cyr-sur-Loire (37)",ST CYR SUR LOIRE,370000093,63,
31,CLINIQUE BELLEDONNE,"Clinique Belledonne, Saint-Martin-d’Hères (38)",ST MARTIN D HERES,380786442,62,-10
32,POLYCLINIQUE DU BOIS,"Hôpital privé Le Bois, Lille (59)",LILLE,590780268,61,-5
33,SAS MEDIPOLE DE NANCY,"Hôpital privé Nancy-Lorraine, (54)",Nancy,540026739,60,-13
34,CLINIQUE SAINT GEORGE,"Clinique Saint-George, Nice (06)",NICE,60780715,60,-3
35,CLINIQUE MEDIPOLE GARONNE,"Médipôle Garonne, Toulouse (31)",TOULOUSE,310780150,58,3
36,POLYCLINIQUE DE LA LOUVIERE,"Hôpital privé La Louvière, Lille (59)",LILLE,590780383,58,9
37,CENTRE MÉDICO-CHIRURGICAL DE L'ATLANTIQUE,"Clinique de l’Atlantique, Puilboreau (17)",PUILBOREAU,170780662,57,
38,CLINIQUE LE MILLENAIRE,"Clinique du Millénaire, Montpellier (34)",MONTPELLIER,340015502,56,-10
39,CLINIQUE DE LA SAUVEGARDE,"Clinique de la Sauvegarde, Lyon (69)",LYON,690780648,55,0
40,SAS POLYCLINIQUE SAINT PRIVAT,"Polyclinique Saint-Privat, Boujan-sur-Libron (34)",BOUJAN SUR LIBRON,340015965,54,-5
41,POLYCLINIQUE ST ROCH,"Polyclinique Saint-Roch, Montpellier (34)",,340022979,54,5
42,CLINIQUE TIVOLI-DUCOS,"Clinique Tivoli-Ducos, Bordeaux (33)",BORDEAUX,330780115,53,
43,CLINIQUE MATHILDE,"Clinique Mathilde, Rouen (76)",ROUEN,760025312,53,
44,POLYCLINIQUE DE NAVARRE,"Polyclinique de Navarre, Pau (64)",PAU,640780946,52,3
45,POLYCLINIQUE SAINT ROCH,"Polyclinique Médipôle Saint-Roch, Cabestany (66)",CABESTANY,660790387,52,-13
46,HÔPITAL CLINIQUE CLAUDE BERNARD,"Hôpital-clinique Claude-Bernard, Metz (57)",METZ,570000646,52,
47,CLINIQUE SAINT PIERRE,"Clinique Saint-Pierre, Perpignan (66)",PERPIGNAN,660780784,51,
48,POLYCLINIQUE CLAIRVAL,"Hôpital privé Clairval, Marseille (13)",MARSEILLE,130784051,50,1
49,POLYCLINIQUE LOUIS PASTEUR,"Clinique Louis-Pasteur, Essey-lès-Nancy (54)",ESSEY LES NANCY,540000478,49,
50,CLINIQUE DU PARC LYON,"Clinique du Parc Lyon, Lyon (69)",Lyon,690000146,48,-10
