Valeurs,Réponse LLM
"Cancer de l'ovaire,""Mots-clés pour la pathologie 'Cancer de l'ovaire' : Ovaires, Tumeurs, Douleurs abdominales, Ascite, Fatigue, Perte de poids, Saignements vaginaux, Diagnostic, Chirurgie, Chimiothérapie."""
"Cancer de l'utérus,""Mots-clés pour la pathologie 'Cancer de l'utérus' : Utérus, Tumeurs, Col de l'utérus, Saignements anormaux, Douleurs pelviennes, Cytologie, Biopsie, Radiothérapie, Chimiothérapie, HPV (virus du papillome humain)."""
"Cancer de la prostate,""Mots-clés pour la pathologie 'Cancer de la prostate' : Prostate, Urine, Douleur pelvienne, Hyperplasie bénigne, PSA (Antigène spécifique de la prostate), Incontinence, Métastases, Biopsie, Traitement hormonal, Chirurgie."""
"Cancer de la thyroïde,""Mots-clés pour la pathologie 'Cancer de la thyroïde' : Thyroïde, Nodules, Hyperthyroïdie, Hypothyroïdie, Goitre, Symptômes cervicaux, Dysphagie, Enrouement, Métastases, Biopsie."""
"Cancer de la vessie,""Mots-clés pour la pathologie 'Cancer de la vessie' : Vessie, Hématurie, Urgence urinaire, Douleurs pelviennes, Cytologie urinaire, Tumeurs, Cystoscopie, Stades du cancer, Métastases, Traitements (Chirurgie, chimiothérapie, radiothérapie)."""
"Cancer des os de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Cancer des os de l'enfant et de l'adolescent' : "
"Cancer du colon ou de l'intestin,""Mots-clés pour la pathologie 'Cancer du colon ou de l'intestin' : Intestin, Colonne, Tumeurs, Symptômes digestifs, Hémorragies, Douleurs abdominales, Perte de poids, Côlon, Dépistage, Polypes."""
"Cancer du foie,""Mots-clés pour la pathologie 'Cancer du foie' : Foie, Hépatome, Cirrhose, Jaunisse, Douleurs abdominales, Perte de poids, Fatigue, Métastases, Biopsie hépatique, Traitement par chimiothérapie."""
"Cancer du pancréas,""Mots-clés pour la pathologie 'Cancer du pancréas' : Pancréas, Tumeur, Jaunisse, Douleur abdominale, Perte de poids, Diabète, Métastases, Chirurgie, Chimiothérapie, Symptômes digestifs."""
"Cancer du poumon,""Mots-clés pour la pathologie 'Cancer du poumon' : Poumons, Toux persistante, Essoufflement, Hémoptysie, Métastases, Radiothérapie, Chimiothérapie, Tabagisme, Dyspnée, Détresse respiratoire."""
"Cancer du rein,""Mots-clés pour la pathologie 'Cancer du rein' : Rein, Tumeur, Hématurie, Douleur lombaire, Métastases, Chirurgie rénale, Insuffisance rénale, Surveillance oncologique, Facteurs de risque, Thérapie ciblée."""
"Cancer du sein,""Mots-clés pour la pathologie 'Cancer du sein' : Sein, Tumeur, Mammographie, Nodule, Chimiothérapie, Radiothérapie, Symptômes, Métastases, Auto-examen, Hormones."""
"Cancer ORL,""Mots-clés pour la pathologie 'Cancer ORL' : "
"Cancers de la peau,""Mots-clés pour la pathologie 'Cancers de la peau' : Peau, Mélanome, Carcinome basocellulaire, Carcinome spinocellulaire, Lésions cutanées, Ulcérations, Démangeaisons, Photodommages, Biopsie cutanée, Traitements (chirurgie, radiothérapie, chimiothérapie)."""
"Cardiologie interventionnelle,""Mots-clés pour la pathologie 'Cardiologie interventionnelle' :  "
"Coeur, Angioplastie, Sténose, Infarctus, Cathétérisme, Artères coronaires, Bypass, Dysfonction cardiaque, Angine de poitrine, Électrocardiogramme."""
"Cataracte,""Mots-clés pour la pathologie 'Cataracte' : Oeil, Vision floue, Lentille cristalline, Opacité, Chirurgie de la cataracte, Éblouissement, Vieillissement, Myopie, Hypermétropie, Glaucome."""
"Chirurgie cardiaque adulte,""Mots-clés pour la pathologie 'Chirurgie cardiaque adulte' : Cœur, Pontage coronarien, Valve cardiaque, Angine de poitrine, Crise cardiaque, Insuffisance cardiaque, Arythmie, Échocardiogramme, Cathétérisme, Réhabilitation cardiaque."""
"Chirurgie cardiaque pédiatrique,""Mots-clés pour la pathologie 'Chirurgie cardiaque pédiatrique' :  "
"Cœur, Malformations cardiaques, Cardiopathies congénitales, Chirurgie réparatrice, Échocardiogramme, Symptômes respiratoires, Cyanose, Souffle cardiaque, Surveillance post-opératoire, Récupération pédiatrique."""
"Chirurgie de l'épaule,""Mots-clés pour la pathologie 'Chirurgie de l'épaule' : Épaule, Luxation, Tendinite, Rotateur, Arthrose, Douleur, Mobilité, Fracture, Bursite, Réhabilitation."""
"Chirurgie de l'obésité,""Mots-clés pour la pathologie 'Chirurgie de l'obésité' : "
"Chirurgie de la cheville,""Mots-clés pour la pathologie 'Chirurgie de la cheville' : Cheville, Ligaments, Fractures, Entorses, Tendinite, Arthrose, Douleur, Instabilité, Réhabilitation, Imagerie médicale."""
"Chirurgie de la cornée,""Mots-clés pour la pathologie 'Chirurgie de la cornée' : Cornée, Kératite, Greffe de cornée, Astigmatisme, Dystrophie cornéenne, Opacité cornéenne, Transplantation, Vision floue, Ulcère cornéen, Laser."""
"Chirurgie dentaire et orale de l’adulte,""Mots-clés pour la pathologie 'Chirurgie dentaire et orale de l’adulte' : "
"Chirurgie dentaire et orale de l’enfant et de l’adolescent,""Mots-clés pour la pathologie 'Chirurgie dentaire et orale de l’enfant et de l’adolescent' : "
"Chirurgie des artères,""Mots-clés pour la pathologie 'Chirurgie des artères' : Artères, Athérosclérose, Ischémie, Angioplastie, Sténose, Anévrisme, Pontage, Symptômes circulatoires, Douleurs thoraciques, Circulation sanguine."""
"Chirurgie des cancers osseux de l'adulte,""Mots-clés pour la pathologie 'Chirurgie des cancers osseux de l'adulte' : "
"Chirurgie des carotides,""Mots-clés pour la pathologie 'Chirurgie des carotides' : Carotide, AVC (accident vasculaire cérébral), Sténose, Atherosclérose, Artères, Symptômes neurologiques, Ischémie, Échographie Doppler, Risques cardiovasculaires, Réhabilitation."""
"Chirurgie des sarcomes des tissus mous,""Mots-clés pour la pathologie 'Chirurgie des sarcomes des tissus mous' : Sarcome, Tissus mous, Chirurgie oncologique, Masse, Douleur, Biopsie, Métastases, Traitement chirurgical, Recurrence, Radiothérapie."""
"Chirurgie des testicules de l'adulte,""Mots-clés pour la pathologie 'Chirurgie des testicules de l'adulte' : Testicules, Orchiectomie, Varicocèle, Hernie inguinale, Tumeur testiculaire, Douleur scrotale, Infertilité, Hydrocele, Malformations congénitales, Consultation urologique."""
"Chirurgie des testicules de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Chirurgie des testicules de l'enfant et de l'adolescent' : Testicules, Hernie inguinale, Cryptorchidie, Torsion testiculaire, Orchidopexie, Malformations congénitales, Douleur scrotale, Échographie testiculaire, Infertilité, Suivi pédiatrique."""
"Chirurgie du canal carpien,""Mots-clés pour la pathologie 'Chirurgie du canal carpien' : Canal carpien, Nerf médian, Engourdissement, Douleur, Faiblesse musculaire, Symptômes de compression, Épicondylite, Chirurgie décompressive, Immobilisation, Rééducation."""
"Chirurgie du dos de l'adulte,""Mots-clés pour la pathologie 'Chirurgie du dos de l'adulte' : "
"Chirurgie du dos de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Chirurgie du dos de l'enfant et de l'adolescent' : "
"Chirurgie du nez et des sinus,""Mots-clés pour la pathologie 'Chirurgie du nez et des sinus' : Nez, Sinus, Rhinite, Sinusite, Déviation du septum nasal, Congestion nasale, Polypes nasaux, Allergies, Apnée du sommeil, Rhinoplastie."""
"Chirurgie du pied,""Mots-clés pour la pathologie 'Chirurgie du pied' : Pied, Hallux valgus, Fasciite plantaire, Fractures, Déformations, Tendinite, Chirurgie orthopédique, Prothèses, Douleur, Réhabilitation."""
"Chirurgie du rectum,""Mots-clés pour la pathologie 'Chirurgie du rectum' : Rectum, Hémorroïdes, Fistule, Polypes, Incontinence, Cancer colorectal, Proctite, Saignement rectal, Douleur abdominale, Chirurgie laparoscopique."""
"Chirurgie maxillo-faciale,""Mots-clés pour la pathologie 'Chirurgie maxillo-faciale' :  "
"Maxillaire, Mandibule, Malocclusion, Traumatisme facial, Chirurgie orthognathique, Cancers buccaux, Anomalies congénitales, Infections buccales, Fractures faciales, Reconstructions faciales."""
"Dépression,""Mots-clés pour la pathologie 'Dépression' : Humeur, Cerveau, Fatigue, Insomnie, Tristesse, Anxiété, Isolement, Perte d'intérêt, Troubles de l'appétit, Antidépresseurs."""
"Diabète de l'adulte,""Mots-clés pour la pathologie 'Diabète de l'adulte' : Insuline, Glycémie, Pancréas, Hyperglycémie, Complications vasculaires, Neuropathie, Rétinopathie, Pied diabétique, Obésité, Régime alimentaire."""
"Diabète de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Diabète de l'enfant et de l'adolescent' : Insuline, Glycémie, Pancréas, Hyperglycémie, Hypoglycémie, Obésité, Fatigue, Soif excessive, Miction fréquente, Complications vasculaires."""
"Endométriose,""Mots-clés pour la pathologie 'Endométriose' : Utérus, Ovaires, Douleurs pelviennes, Règles douloureuses, Infertilité, Laparoscopie, Kystes endométriosiques, Symptômes gastrointestinal, Fatigue chronique, Adhesions pelviennes."""
"Epilepsie de l'adulte,""Mots-clés pour la pathologie 'Épilepsie de l'adulte' : Crise épileptique, Cerveau, Neurologie, Aura, Convulsions, Épileptogène, Anticonvulsivants, EEG (électroencéphalogramme), Troubles cognitifs, Fatigue post-ictale."""
"Epilepsie de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Épilepsie de l'enfant et de l'adolescent' : "
"Fibrome utérin,""Mots-clés pour la pathologie 'Fibrome utérin' : Utérus, Saignements menstruels, Douleurs pelviennes, Masse abdominale, Infertilité, Ménorragies, Prolapsus, Hystéroscopie, Échographie pelvienne, Traitement hormonal."""
"Glandes salivaires,""Mots-clés pour la pathologie 'Glandes salivaires' : Glandes parotides, Sialorrhée, Sialadénite, Calculs salivaires, Infections, Sécheresse buccale, Tumeurs salivaires, Dysfonctionnement, Douleur faciale, Salive."""
"Glaucome,""Mots-clés pour la pathologie 'Glaucome' : Œil, Tension oculaire, Nerf optique, Perte de vision, Champ visuel, Pression intraoculaire, Ophtalmologie, Hypertension oculaire, Symptômes (maux de tête, halos), Traitement (collyres, chirurgie)."""
"Hernies de l'abdomen,""Mots-clés pour la pathologie 'Hernies de l'abdomen' : Abdomen, Hernie inguinale, Hernie ombilicale, Douleur abdominale, Protrusion, Chirurgie, Étranglement, Troubles digestifs, Gonflement, Faiblesse musculaire."""
"Hypertension artérielle,""Mots-clés pour la pathologie 'Hypertension artérielle' : Pression artérielle, Cœur, Vaisseaux sanguins, Maladie cardiovasculaire, AVC, Insuffisance cardiaque, Maux de tête, Fatigue, Vertiges, Traitement antihypertenseur."""
"Infarctus du myocarde,""Mots-clés pour la pathologie 'Infarctus du myocarde' : Cœur, Artères coronaires, Douleur thoracique, Insuffisance cardiaque, Angine de poitrine, Électrocardiogramme (ECG), Facteurs de risque, AVC (accident vasculaire cérébral), Fatigue, Dyspnée."""
"Insuffisance cardiaque,""Mots-clés pour la pathologie 'Insuffisance cardiaque' :  "
"Cœur, Dyspnée, Œdème, Fatigue, Palpitations, Hypertension, Anxiété, Insuffisance rénale, Échocardiogramme, Diurétiques."""
"Leucémie de l'adulte,""Mots-clés pour la pathologie 'Leucémie de l'adulte' : Sang, Moelle osseuse, Globules blancs, Anémie, Fatigue, Hémorragies, Infections, Lymphocytes, Chimiothérapie, Transfusion."""
"Leucémie de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Leucémie de l'enfant et de l'adolescent' : Sang, Moelle osseuse, Globules blancs, Anémie, Fatigue, Ecchymoses, Infections fréquentes, Douleurs osseuses, Traitement chimiothérapeutique, Transfusions."""
"Ligaments du genou,""Mots-clés pour la pathologie 'Ligaments du genou' : Genou, LCA (ligament croisé antérieur), LCP (ligament croisé postérieur), Entorse, Douleur, Instabilité, Chirurgie orthopédique, Réhabilitation, Cartilage, Syndrome de l’essuie-glace."""
"Lymphome-Myélome de l'adulte,""Mots-clés pour la pathologie 'Lymphome-Myélome de l'adulte' : Sang, Ganglions lymphatiques, Plasmocytes, Anémie, Fatigue, Infections fréquentes, Douleurs osseuses, Purpura, Traitement par chimio-immunothérapie, Surveillance médicale."""
"Maladie de Parkinson,""Mots-clés pour la pathologie 'Maladie de Parkinson' : Tremblements, Rigidité musculaire, Bradykinésie, Posture, Démence, Moins de dopamine, Chutes, Dyskinésie, Troubles de l'équilibre, Fatigue."""
"Maladies inflammatoires chroniques de l'intestin (MICI),""Mots-clés pour la pathologie 'Maladies inflammatoires chroniques de l'intestin (MICI)': "
"Médecine vasculaire,""Mots-clés pour la pathologie 'Médecine vasculaire' : Vaisseaux sanguins, Artères, Veines, Thrombose, Varices, Insuffisance veineuse, Athérosclérose, Échographie Doppler, Ischémie, Hypertension artérielle."""
"Pneumologie,""Mots-clés pour la pathologie 'Pneumologie' : Poumons, Asthme, Bronchite, Emphysème, Dyspnée, Toux, Pneumonie, Maladie pulmonaire obstructive chronique (MPOC), Fibrose pulmonaire, Infections respiratoires."""
"Proctologie,""Mots-clés pour la pathologie 'Proctologie' : Rectum, Hémorroïdes, Fissure anale, Constipation, Incontinence, Polypes, Maladies inflammatoires de l'intestin, Saignement rectal, Douleur anale, Examens proctologiques."""
"Prothèse de genou,""Mots-clés pour la pathologie 'Prothèse de genou' : Genou, Arthrose, Douleur, Mobilité, Raideur, Chondromalacie, Ligaments, Réhabilitation, Chirurgie orthopédique, Inflammation."""
"Prothèse de hanche,""Mots-clés pour la pathologie 'Prothèse de hanche' : Hanche, Arthrose, Douleur, Mobilité, Chirurgie orthopédique, Réhabilitation, Implant, Fracture du col du fémur, Récupération, Inflammation."""
"Rétine,""Mots-clés pour la pathologie 'Rétine' : Rétinopathie, Dégénérescence maculaire, Décollement de rétine, Photophobie, Vision floue, Scotome, Diabète, Maladies vasculaires, Laser, Ophtalmologie."""
"Schizophrénie,""Mots-clés pour la pathologie 'Schizophrénie' : Cerveau, Hallucinations, Délire, Psychose, Anxiété, Isolement social, Troubles cognitifs, Émotions, Antipsychotiques, Symptômes négatifs."""
"Sclérose en plaques,""Mots-clés pour la pathologie 'Sclérose en plaques' : Neurologie, Myéline, Fatigue, Troubles moteurs, Engourdissements, Vision floue, Spasticité, Dépression, Troubles cognitifs, Inflammation."""
"Stimulateurs cardiaques,""Mots-clés pour la pathologie 'Stimulateurs cardiaques' :  "
"Strabisme,""Mots-clés pour la pathologie 'Strabisme' :  "
"Yeux, Malalignment, Diplopie, Oculomotricité, Vision double, Amblyopie, Convergence, Déviation, Traitement orthoptique, Chirurgie oculaire."""
"Stress post-traumatique de l’adulte,""Mots-clés pour la pathologie 'Stress post-traumatique de l’adulte' : Traumatisme, Anxiété, Flashbacks, État de stress, Insomnie, Hypervigilance, Dépression, Évitement, Symptômes dissociatifs, Trouble de l'humeur."""
"Troubles bipolaires,""Mots-clés pour la pathologie 'Troubles bipolaires' : Humeur, Énergie, Manie, Dépression, Cerveau, Altération de l’humeur, Épisodes maniaques, Épisodes dépressifs, Instabilité émotionnelle, Médicaments stabilisateurs de l’humeur."""
"Tumeurs du cerveau de l'adulte,""Mots-clés pour la pathologie 'Tumeurs du cerveau de l'adulte' : Cerveau, Neurologie, Symptômes neurologiques, Céphalées, Convulsions, Troubles cognitifs, Imagerie cérébrale, Chirurgie, Radiothérapie, Oncologie."""
"Tumeurs du cerveau de l'enfant et de l'adolescent,""Mots-clés pour la pathologie 'Tumeurs du cerveau de l'enfant et de l'adolescent' : Cerveau, Tumeur, Neuroblastome, Gliome, Symptômes neurologiques, Maux de tête, Nausées, Troubles de la vision, Crise épileptique, Radiothérapie."""
"Urgences de la main,""Mots-clés pour la spécialité 'Urgences de la main' : Main, Fracture, Luxation, Entorse, Lésion cutanée, Tendinite, Syndrome du canal carpien, Douleur, Ecchymose, Infection."""
"Vésicule biliaire,""Mots-clés pour la pathologie 'Vésicule biliaire' : Cholécystite, Calculs biliaires, Douleur abdominale, Jaunisse, Ulcère, Échographie abdominale, Cholestérol, Dysfonctionnement hépatique, Pancréatite, Intervention chirurgicale (cholécystectomie)."""
